Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,reg
VULAS,CVE-2014-3600,https://github.com/apache/activemq,b9696ac80bb496b52d05c3884f81b0746d9af9e2,apache,activemq,4fa10356f09908d8cfb9fd4448983ac6d7e80ee7,829a186f2a05ac50eef389bea5c407559cdccef0,e47e0e046350a8325ef5948c2c12b0dc4f053916,FOUND
VULAS,CVE-2014-3612,https://github.com/apache/activemq,0b5231ada5ce365b41832ba8752ee210145d1cbe,apache,activemq,e8f8155141e75ba10c1ba03d9031b6128a735507,6a631a9d2123d4145f91105ff89ef074122b60ea,19cb932816a09b05d5da73da7fbc39e0dec0e522,FOUND
VULAS,CVE-2014-7809,https://github.com/apache/struts,1f301038a751bf16e525607c3db513db835b2999,apache,struts,e1025a207ddfa1b8971ec6261ea2c09da2af157f,40f7b39c3f1f99de1806a5afb84166090f00d4ce,24085bdc5a15094b3752d3926f75882ee2a87b54,FOUND
VULAS,CVE-2015-0225,https://github.com/apache/cassandra,c041ea8b3748089937168839791a6d64382b34de,apache,cassandra,7cc1cf000c6b48bc13aa551467f27e4ab28b2031,3575fdccb7b9dee720c06d133aa5895bf0bb0787,d3872408d22ae208a5cb9cdf4c1d76370510459d,FOUND
VULAS,CVE-2015-1831,https://github.com/apache/struts,d832747d647df343ed07a58b1b5e540a05a4d51b,apache,struts,8ab3272d9fd547880f06aa32366f7956628e6630,91ccd43e620aec42045265a61b115ca06bd93914,7a79058c9bc12601afc73aa2536ac8208ed75c51,FOUND
VULAS,CVE-2015-3208,https://github.com/apache/activemq-artemis,48d9951d879e0c8cbb59d4b64ab59d53ef88310d,apache,activemq-artemis,879f4a6bb3b15dfc3d00bcde2d982194bd2dadc4,7bf62ff6603e848b17b93433e9c60b6cafca1153,9df39ad56963009d72bf1fe27e5b6c8f5beb7613,FOUND
VULAS,CVE-2015-3253,https://github.com/apache/groovy,09e9778e8a33052d8c27105aee5310649637233d,apache,groovy,03e3812cff011eda75a518af7f8f676db8622316,93ecc0ad47b613e76c47689afc7b93afea6a371b,2971892891602c196822389362798ef35e8d6eed,FOUND
VULAS,CVE-2015-3271,https://github.com/apache/tika,98672cdd92b6325ff78c763955a7c045b364095b,apache,tika,a4baebe62c9a29c71fac00b59657f508c681edbf,877d62125dc6c670351eb84fc3422ed347db457a,a01163de9784cff77733262dad46140e83eb6e11,FOUND
VULAS,CVE-2015-5253,https://github.com/apache/cxf,845eccb6484b43ba02875c71e824db23ae4f20c0,apache,cxf,b32c5d0cbf61ae599c33e401679066d92b8e2024,26c10829e48bb274100d4e160ccafa2a2768af74,bb0f33bf08d59c85940280ce5071a5856686781e,FOUND
VULAS,CVE-2015-5256,https://github.com/apache/cordova-android,af2969dec58ca89150b84b5d57edcf63d4ce1302,apache,cordova-android,53dba8678c90f06ee3bdaf903ec1ffa1106be338,c341cf0d47c4c24e097985fe941adabfbd1e30b7,f2c38ea0a7dfaa36220d648d1ac93fb06aa84bc2,FOUND
VULAS,CVE-2015-5347,https://github.com/apache/wicket,dffba2ce410ec7e917ad350d3528af4df67bc348,apache,wicket,497a5d629b609d2e6039b2df6c35bc1035077984,6497ee079e22d3efc1e1074d46bc3adf3d3fbcd1,64f936d9e26a43af13e384f4e9a97a14b64cebab,FOUND
VULAS,CVE-2015-8320,https://github.com/apache/cordova-android,032ea8a8d386d8bcffc5de7fd3e4202478effb7d,apache,cordova-android,fc63f66e8970ab537dda1397a6b58e6d61252c17,84274b42590922bd9a77f1851378fdca6c0e6071,b6bf5298e6836b9cdb3c07c0442331b15ce40321,FOUND
VULAS,CVE-2016-0779,https://github.com/apache/tomee,58cdbbef9c77ab2b44870f9d606593b49cde76d9,apache,tomee,5689b25ac70a243c4d838962e068856f889ea87f,0bdc3647dd161c09ecdf45f05fe9ee3f2511df40,2fb7d2caae9978f3cde15ef05a9751d1c0229014,FOUND
VULAS,CVE-2016-0785,https://github.com/apache/struts,15857a69e7baf3675804495a5954cd0756ac8364,apache,struts,f7364a50dc6a82b51a57dab9b3efd6303e2295b6,42c8104e4ea66aff974c01e6b8810384b130f03b,89c19b898931e4d2ccf67de8995b5d5df3418f3d,FOUND
VULAS,CVE-2016-2162,https://github.com/apache/struts,fc2179cf1ac9fbfb61e3430fa88b641d87253327,apache,struts,3c68a3def6f85570ee5a931f82e5d53f442f0928,0a76d80364c6afa956c520b4ae524c4875ab292f,a8b3dcab970028b56cddf659ee1ceb4a68e26ab1,FOUND
VULAS,CVE-2016-3081,https://github.com/apache/struts,f238cf4f1091be19fbcfd086b042c86a1bcaa7fc,apache,struts,016b8eedd5ca47fce95e2a16069e640e3842906d,b6afefeea74e4986e10ff19b32d6880357d753a9,f419ee5879306cbe493d3fbe4ad3e925dcd5dce2,FOUND
VULAS,CVE-2016-3082,https://github.com/apache/struts,6bd694b7980494c12d49ca1bf39f12aec3e03e2f,apache,struts,c9c21378f2fb2ff21355c128c45e106ebd87ad7c,fe31a24b74719b5583c38139f64532b51bb6e915,50a0a72e9d4bcf96bdcb6e1d9adaefa8c11f19e8,FOUND
VULAS,CVE-2016-3088,https://github.com/apache/activemq,3dd86d04e8b90ba309819317d19e7260d414d9e7,apache,activemq,4f43a2121264152b09166b8a09403ee0c205233d,fddbac2b8a6b2686c0305e3e24a8ac549cc9e345,eb1a3eb77bf0ce823ba5f4891ef7a546edce5321,FOUND
VULAS,CVE-2016-3092,https://github.com/apache/commons-fileupload,774ef160d591b579f703c694002e080f99bcd28b,apache,commons-fileupload,8bf965a49a39521018c587d59dcc943278c4aee7,0b4f110f2757cb6ae7c331e45cc96b8ac8a3ae3d,876223341169fa89c04c31f62a72bdfdba3d40dc,FOUND
VULAS,CVE-2016-4430,https://github.com/apache/struts,b28b78c062f0bf3c79793a25aab8c9b6c12bce6e,apache,struts,8d172b8e9bf0beb1ed08a915737646e432b75e00,689f85163fdd9e24816852232dff8f1519cf4351,7852f4f3a78aa4204a5fd8da0ef3c4a5299a9ab6,FOUND
VULAS,CVE-2016-4437,https://github.com/apache/shiro,64d9f8341e1aa7ef1a29744e16ea7c578ca5deee,apache,shiro,1460419cc7e4eacbcef7ccc17c75e74d058b73c1,d1a73e4cb3de0d7e2960bef9946cc4b59d743606,40517a4ee069f9961f7006c62ea2b219f3ce9cda,FOUND
VULAS,CVE-2016-4438,https://github.com/apache/struts,76eb8f38a33ad0f1f48464ee1311559c8d52dd6d,apache,struts,deefeffd11425f0cd0b797cd86a9b3550234262b,7fdc103e8abd3eac07297c254078ba399357521b,a6b33018561f12724f89aa28f7849f3f2fc34092,FOUND
VULAS,CVE-2016-4464,https://github.com/apache/cxf-fediz,0006581e9cacbeef46381a223e5671e524d416b6,apache,cxf-fediz,d30ea588c63b896be10171382e6f2a0d10f0022d,159bf90ef220ffa8b5dfb42f2b7ffc6f10c15f86,f46137383305dd76428da60bd9b2e613815cd694,FOUND
VULAS,CVE-2016-6802,https://github.com/apache/shiro,b15ab927709ca18ea4a02538be01919a19ab65af,apache,shiro,d41afcc6e722ec112918c2cc56a386dd6267a1d5,8180fb852bd040de0850ced31532754ddd5713bc,321b54a36c2cc9a9957147102295db38b641c737,FOUND
VULAS,CVE-2016-6809,https://github.com/apache/tika,8a68b5d474205cc91cbbb610d4a1c05af57f0610,apache,tika,85e53850026aadce49bc99c1ef2de9d5c7be0451,49833d88cb323928c3de7bd7a86ab38444530418,72994c8ac8f0c749f26f4f19b7992b8224fc2a12,FOUND
VULAS,CVE-2016-6814,https://github.com/apache/groovy,4df8b652aa018a5d5d1cda8fba938bf3422db31c,apache,groovy,675a04eab7ea1754502caa365f7d251a9ae97493,275589aab5a3f98fc23a7fd5ded414280dc2211d,977a0998a08d40a6baed4d6dea90b6e19f93d9f4,FOUND
